scope,dataset,method_or_item,metric,n,value,comparison_or_test,adjusted_p_value,source_file,source_row_key,package_value_status,manuscript_sync_status,descriptive_only,inferential_test
experiment_c,synthetic,ExperimentC_StabilityAware_ECMADE_MOO,StabilityWeightedRank_vs_HandCrafted_Holm_p,32,0.8085624479228251,Wilcoxon-Holm,0.8085624479228251,experiments/experiment_bc/formal_five_primary_method_wilcoxon_holm.csv,endpoint=StabilityWeightedRank;method_a=HandCrafted_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,true
experiment_c,synthetic,ExperimentC_StabilityAware_ECMADE_MOO,StabilityWeightedRank_vs_RandomConfig_Holm_p,32,0.12052342675068557,Wilcoxon-Holm,0.12052342675068557,experiments/experiment_bc/formal_five_primary_method_wilcoxon_holm.csv,endpoint=StabilityWeightedRank;method_a=RandomConfig_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,true
experiment_c,synthetic,ExperimentC_StabilityAware_ECMADE_MOO,StabilityWeightedRank_vs_BayesianConfig_Holm_p,32,1.0,Wilcoxon-Holm,1.0,experiments/experiment_bc/formal_five_primary_method_wilcoxon_holm.csv,endpoint=StabilityWeightedRank;method_a=BayesianConfig_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,true
experiment_c,synthetic,ExperimentC_StabilityAware_ECMADE_MOO,StabilityWeightedRank_vs_MetaDesigned_Holm_p,32,0.2749623071153569,Wilcoxon-Holm,0.2749623071153569,experiments/experiment_bc/formal_five_primary_method_wilcoxon_holm.csv,endpoint=StabilityWeightedRank;method_a=MetaDesigned_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,true
selector_ablation,synthetic,FullSelector,runs,32,960,32 groups x 30 runs,,experiments/selector_ablation/run_completeness.csv,method=SelectorAblation_FullSelector_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,false
selector_ablation,synthetic,NoInstanceFeatures,runs,32,960,32 groups x 30 runs,,experiments/selector_ablation/run_completeness.csv,method=SelectorAblation_NoInstanceFeatures_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,false
selector_ablation,synthetic,NoThetaFeatures,runs,32,960,32 groups x 30 runs,,experiments/selector_ablation/run_completeness.csv,method=SelectorAblation_NoThetaFeatures_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,false
selector_ablation,synthetic,RandomizedLabels,runs,32,960,32 groups x 30 runs,,experiments/selector_ablation/run_completeness.csv,method=SelectorAblation_RandomizedLabels_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,false
selector_ablation,synthetic,FullSelector,mean_RankScore,32,2.6041666666666665,formal final-test summary,,experiments/selector_ablation/selector_final_test_summary.csv,method=SelectorAblation_FullSelector_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,false
selector_ablation,synthetic,NoInstanceFeatures,mean_RankScore,32,2.8125,formal final-test summary,,experiments/selector_ablation/selector_final_test_summary.csv,method=SelectorAblation_NoInstanceFeatures_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,false
selector_ablation,synthetic,NoThetaFeatures,mean_RankScore,32,2.3854166666666665,formal final-test summary,,experiments/selector_ablation/selector_final_test_summary.csv,method=SelectorAblation_NoThetaFeatures_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,false
selector_ablation,synthetic,RandomizedLabels,mean_RankScore,32,2.1979166666666665,formal final-test summary,,experiments/selector_ablation/selector_final_test_summary.csv,method=SelectorAblation_RandomizedLabels_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,false
selector_ablation,synthetic,NoThetaFeatures,overall_RankScore,32,2.1666666666666665,formal final-test summary,,experiments/selector_ablation/selector_final_test_summary.csv,method=SelectorAblation_NoThetaFeatures_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,false
selector_ablation,synthetic,FullSelector,overall_RankScore,32,3.0,formal final-test summary,,experiments/selector_ablation/selector_final_test_summary.csv,method=SelectorAblation_FullSelector_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,false
selector_ablation,synthetic,RankScore,friedman_chi_square,32,19.395569620253152,Friedman omnibus,,experiments/selector_ablation/friedman.csv,metric=RankScore,verified,confirmed_20260811_formal_table,false,true
selector_ablation,synthetic,RankScore,friedman_p_value,32,0.00022644791718851452,Friedman omnibus,,experiments/selector_ablation/friedman.csv,metric=RankScore,verified,confirmed_20260811_formal_table,false,true
selector_ablation,synthetic,FullSelector,RankScore_vs_NoInstanceFeatures_Holm_p,32,0.19180603307237346,Wilcoxon-Holm,0.19180603307237346,experiments/selector_ablation/pairwise_wilcoxon_holm.csv,metric=RankScore;baseline=SelectorAblation_NoInstanceFeatures_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,true
selector_ablation,synthetic,FullSelector,RankScore_vs_NoThetaFeatures_Holm_p,32,1.0,Wilcoxon-Holm,1.0,experiments/selector_ablation/pairwise_wilcoxon_holm.csv,metric=RankScore;baseline=SelectorAblation_NoThetaFeatures_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,true
selector_ablation,synthetic,FullSelector,RankScore_vs_RandomizedLabels_Holm_p,32,1.0,Wilcoxon-Holm,1.0,experiments/selector_ablation/pairwise_wilcoxon_holm.csv,metric=RankScore;baseline=SelectorAblation_RandomizedLabels_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,true
real_market_six,real_market,six_algorithm,windows,33,33,paired rolling windows,,real_market/six_algorithm_overall_summary.csv,all methods,verified,confirmed_20260811_formal_table,false,false
real_market_six,real_market,MOEAD,mean_annual_net_return_10bps,33,0.34808877158444745,fixed portfolio paths,,real_market/six_algorithm_transaction_cost_overall.csv,cost_scenario=10bps;method=MOEAD,verified,confirmed_20260811_formal_table,true,false
real_market_six,real_market,GDE3,mean_sharpe,33,1.2856362633762435,descriptive overall summary,,real_market/six_algorithm_overall_summary.csv,method=GDE3,verified,confirmed_20260811_formal_table,true,false
real_market_six,real_market,GDE3,mean_sortino,33,2.12207822370455,descriptive overall summary,,real_market/six_algorithm_overall_summary.csv,method=GDE3,verified,confirmed_20260811_formal_table,true,false
real_market_six,real_market,ECMADE_MOO,mean_annual_volatility,33,0.26110296669437827,descriptive overall summary,,real_market/six_algorithm_method_overall_summary_with_volatility.csv,method=ECMADE_MOO,verified,confirmed_20260811_formal_table,true,false
real_market_six,real_market,ECMADE_MOO,mean_cvar95_loss,33,0.03380085459490298,descriptive overall summary,,real_market/six_algorithm_overall_summary.csv,method=ECMADE_MOO,verified,confirmed_20260811_formal_table,true,false
real_market_six,real_market,NSGAII,CrossWindowOverallRank,33,2.1666666666666665,descriptive rank only,,real_market/six_algorithm_overall_summary.csv,method=NSGAII;field=stability_rank_score,verified,confirmed_20260811_formal_table,true,false
real_market_six,real_market,annual_volatility_mean,friedman_p_value,33,0.11115421711692502,Friedman lower bound among original financial endpoints,,real_market/six_algorithm_endpoint_friedman_tests.csv,metric=annual_volatility_mean,verified,confirmed_20260811_formal_table,false,true
real_market_six,real_market,max_drawdown_mean,friedman_p_value,33,0.8115294000105766,Friedman upper bound among original financial endpoints,,real_market/six_algorithm_endpoint_friedman_tests.csv,metric=max_drawdown_mean,verified,confirmed_20260811_formal_table,false,true
cost,real_market,MOEAD,mean_annual_net_return_50bps,33,0.34322281052697506,fixed portfolio paths,,real_market/six_algorithm_transaction_cost_overall.csv,cost_scenario=50bps;method=MOEAD,verified,confirmed_20260811_formal_table,true,false
cost,real_market,NSGAII,mean_annual_net_return_10bps,33,0.3368788479710617,fixed portfolio paths,,real_market/six_algorithm_transaction_cost_overall.csv,cost_scenario=10bps;method=NSGAII,verified,confirmed_20260811_formal_table,true,false
cost,real_market,NSGAII,mean_annual_net_return_50bps,33,0.3320378904623018,fixed portfolio paths,,real_market/six_algorithm_transaction_cost_overall.csv,cost_scenario=50bps;method=NSGAII,verified,confirmed_20260811_formal_table,true,false
cost,real_market,ECMADE_MOO,mean_annual_net_return_10bps,33,0.3271466665095526,fixed portfolio paths,,real_market/six_algorithm_transaction_cost_overall.csv,cost_scenario=10bps;method=ECMADE_MOO,verified,confirmed_20260811_formal_table,true,false
cost,real_market,ECMADE_MOO,mean_annual_net_return_50bps,33,0.32223993654333816,fixed portfolio paths,,real_market/six_algorithm_transaction_cost_overall.csv,cost_scenario=50bps;method=ECMADE_MOO,verified,confirmed_20260811_formal_table,true,false
real_market_config,real_market,ExperimentC_StabilityAware_ECMADE_MOO,annual_net_return_vs_MetaDesigned_Holm_p,33,0.034893042175099254,26 wins;0 ties;7 losses,0.034893042175099254,real_market/configuration_protocol_endpoint_pairwise_wilcoxon_holm.csv,metric=annual_net_return_mean;baseline=MetaDesigned_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,true
real_market_config,real_market,ExperimentC_StabilityAware_ECMADE_MOO,annual_volatility_vs_HandCrafted_Holm_p,33,0.022167447488754988,12 wins;0 ties;21 losses,0.022167447488754988,real_market/configuration_protocol_endpoint_pairwise_wilcoxon_holm.csv,metric=annual_volatility_mean;baseline=HandCrafted_ECMADE_MOO,verified,confirmed_20260811_formal_table,false,true
mokp,mokp,formal_endpoint_set,endpoint_count,18,6,HV;IGD;PF_Overlap;PF_Drift;Diversity;Runtime,,experiments/mokp/mokp_endpoint_friedman_tests.csv,all rows,verified,confirmed_20260811_formal_table,false,true
mokp,mokp,rank_derived_scores,inference_allowed,,0,descriptive only,,manifest/artifact_authority.csv,MOKP authority rule,verified,confirmed_20260811_formal_table,true,false
